id,parent_id,title,price,"images",need_children_count,is_customizable,comment,validation_rules
1,,Place,20000,"",1,,,
2,,Vehicle,20000,"",1,,,
3,,Hotel,20000,"",2,,,
4,,Room,20000,"",1,,,
10001,1,Shan,0,"right:image/shan.jpeg",2,,"Shan State is a state located in Myanmar (Burma), which takes its name from the Shan people, the majority ethnic group in the Shan State. Shan State is comprised of 54 townships. Its capital is Taunggyi. The state is largely rural. Major cities of Shan State are Lashio, Kyaing Tong and Taunggyi.Shan State is a state located in Myanmar (Burma), which takes its name from the Shan people, the majority ethnic group in the Shan State. Shan State is comprised of 54 townships. Its capital is Taunggyi. The state is largely rural. Major cities of Shan State are Lashio, Kyaing Tong and Taunggyi.",
10002,1,Mandalay,0,"right:image/mandalay.jpeg",2,,"Mandalay, the former royal capital of Myanmar. The city is big, busy and somehow has its charm. Mandalay is a great 2-day stop on your Myanmar Route. Admire its unique architecture and pagoda’s or visit the world-famous U-Bein Bridge. Read about the things to do in Mandalay.Mandalay, the former royal capital of Myanmar. The city is big, busy and somehow has its charm. Mandalay is a great 2-day stop on your Myanmar Route. Admire its unique architecture and pagoda’s or visit the world-famous U-Bein Bridge. Read about the things to do in Mandalay.",
10003,1,Bagan,0,"right:image/bagan.jpeg",2,,One of the most fairytale-like places in the world is Bagan in Myanmar (Burma). If you like Angkor Wat in Cambodia or Cappadocia in Turkey then you are definitely going to love Bagan. The area contains 2200+ small and big temples (pagodas) and looks like an African country when biking around. Bagan earned the UNESCO World Heritage status in July 2019 and this Bagan Guide will help you plan your days.One of the most fairytale-like places in the world is Bagan in Myanmar (Burma). If you like Angkor Wat in Cambodia or Cappadocia in Turkey then you are definitely going to love Bagan. The area contains 2200+ small and big temples (pagodas) and looks like an African country when biking around. Bagan earned the UNESCO World Heritage status in July 2019 and this Bagan Guide will help you plan your days.,
10004,10001,Members,0,"",1,,,
10005,10001,Days,0,"",1,,,
10006,10002,Members,0,"",1,,,
10007,10002,Days,0,"",1,,,
10008,10003,Members,0,"",1,,,
10009,10003,Days,0,"",1,,,
10010,10004,4members,40000,"",0,,,
10011,10004,~12members,100000,"",0,1,,min:5|max:12|require:1
10012,10005,4days,30000,"",0,,,
10013,10005,~7days,40000,"",0,1,,min:5|max:7|require:1
10014,10006,4members,40000,"",0,,,
10015,10006,~12members,100000,"",0,1,,min:5|max:12|require:1
10016,10007,4days,30000,"",0,,,
10017,10007,~7days,40000,"",0,1,,min:5|max:7|require:1
10018,10008,4members,40000,"",0,,,
10019,10008,~24members,100000,"",0,1,,min:5|max:24|require:1
10020,10009,4days,30000,"",0,,,
10022,10009,~7days,40000,"",0,1,,min:5|max:7|require:1
10023,10009,~10days,60000,"",0,1,,min:8|max:10|require:1
10024,10009,~15days,80000,"",0,1,,min:11|max:15|require:1
20001,2,Sunny,50000,"",0,,,
20002,2,Minibus,100000,"",0,,,
20003,2,Express,200000,"",0,,,
30001,3,Type,0,"",1,,,
30002,30001,Middle,0,"",1,,,
30003,30001,High,0,"",1,,,
30004,3,Name,0,"",0,,,
40001,4,Layout,0,"",1,,,
40002,40001,No,0,"",0,,,
40003,40001,Normal,10000,"",2,,,
40004,40001,Standard,20000,"",2,,,
40005,40003,Bed,0,"",1,,,
40006,40003,Ceiling,0,"",1,,,
40007,40004,Bed,0,"",1,,,
40008,40004,Ceiling,0,"",1,,,
40009,40005,Normal,10000,"",0,,,
40010,40005,Standard,20000,"",0,,,
40011,40006,Normal,10000,"",0,,,
40012,40006,Standard,20000,"",0,,,
40013,40007,Normal,10000,"",0,,,
40014,40007,Standard,20000,"",0,,,
40015,40008,Normal,10000,"",0,,,
40016,40008,Standard,20000,"",0,,,
5,,Car,0,"",1,,,
50001,5,Type,0,"",1,,,
50002,50001,Sedan,0,"",1,,,
50003,50001,SUV,0,"",1,,,
50004,50001,Pickup Truck,0,"",1,,,
50005,50002,Brand,0,"",1,,,
50006,50003,Brand,0,"",1,,,
50007,50004,Brand,0,"",1,,,
50008,50005,Vios 2020,21800,"right:image/vios_2020.jpg",0,,,
50009,50005,Camry 2020,58900,"right:image/camry_2020.jpg",0,,,
50010,50005,Corolla Altis 2020,36000,"right:image/corolla_altis_2020.jpg",0,,,
50011,50006,Fortuner 2020,63800,"right:image/fortuner_2020.jpg",0,,,
50012,50006,Landcruiser 200 2020,187100,"right:image/landcruiser_2020.jpg",0,,,
50013,50006,Rush 2020,28500,"right:image/rush_2020.jpg",0,,,
50014,50007,Hilux Revo Single Cab 2020,20100,"right:image/revo_single_2020.jpg",0,,,
50015,50007,Hilux Revo Extra Cab 2020,28300,"right:image/revo_extra_2020.jpg",0,,,
50016,50007,Hilux Revo Double Cab 2020,48600,"right:image/revo_double_2020.jpg",0,,,
50017,50001,No,0,"",0,"","",""
